ts_code,name,industry,list_date
000702.SZ,正虹科技,饲料,19970318
000703.SZ,恒逸石化,化纤,19970328
000705.SZ,浙江震元,医药商业,19970410
000707.SZ,双环科技,化工原料,19970415
000708.SZ,中信特钢,特种钢,19970326
000709.SZ,河钢股份,普钢,19970416
000710.SZ,贝瑞基因,医疗保健,19970422
000711.SZ,ST京蓝,环境保护,19970411
000712.SZ,锦龙股份,证券,19970415
000713.SZ,国投丰乐,种植业,19970422
000715.SZ,中兴商业,百货,19970508
000716.SZ,黑芝麻,食品,19970418
000717.SZ,中南股份,普钢,19970508
000718.SZ,苏宁环球,区域地产,19970408
000719.SZ,中原传媒,出版业,19970331
000720.SZ,新能泰山,电气设备,19970509
000721.SZ,西安饮食,酒店餐饮,19970430
000722.SZ,湖南发展,水力发电,19970522
000723.SZ,美锦能源,焦炭加工,19970515
000725.SZ,京东方Ａ,元器件,20010112
000726.SZ,鲁泰Ａ,纺织,20001225
000727.SZ,冠捷科技,元器件,19970520
000728.SZ,国元证券,证券,19970616
000729.SZ,燕京啤酒,啤酒,19970716
000731.SZ,四川美丰,农药化肥,19970617
000733.SZ,振华科技,元器件,19970703
000735.SZ,罗牛山,农业综合,19970611
000736.SZ,中交地产,全国地产,19970425
000737.SZ,北方铜业,铜,19970428
000738.SZ,航发控制,航空,19970626
000739.SZ,普洛药业,化学制药,19970509
000750.SZ,国海证券,证券,19970709
000751.SZ,锌业股份,铅锌,19970626
000752.SZ,*ST西发,啤酒,19970625
000753.SZ,漳州发展,综合类,19970626
000755.SZ,山西高速,路桥,19970627
000756.SZ,新华制药,化学制药,19970806
000757.SZ,浩物股份,汽车服务,19970627
000758.SZ,中色股份,铅锌,19970416
000759.SZ,中百集团,超市连锁,19970519
000761.SZ,本钢板材,普钢,19980115
000762.SZ,西藏矿业,小金属,19970708
000766.SZ,通化金马,化学制药,19970430
000767.SZ,晋控电力,火力发电,19970609
000768.SZ,中航西飞,航空,19970626
000776.SZ,广发证券,证券,19970611
000777.SZ,中核科技,机械基件,19970710
000778.SZ,新兴铸管,钢加工,19970606
000779.SZ,甘咨询,建筑工程,19970528
000782.SZ,恒申新材,化纤,19970619
000783.SZ,长江证券,证券,19970731
000785.SZ,居然智家,百货,19970711
000786.SZ,北新建材,其他建材,19970606
000788.SZ,北大医药,化学制药,19970616
000789.SZ,万年青,水泥,19970923
000790.SZ,华神科技,中成药,19980327
000791.SZ,甘肃能源,水力发电,19971014
000792.SZ,盐湖股份,农药化肥,19970904
000793.SZ,*ST华闻,出版业,19970729
000795.SZ,英洛华,矿物制品,19970808
000796.SZ,凯撒旅业,旅游服务,19970703
000797.SZ,中国武夷,全国地产,19970715
000798.SZ,中水渔业,渔业,19980212
000799.SZ,酒鬼酒,白酒,19970718
000800.SZ,一汽解放,汽车整车,19970618
000801.SZ,四川九洲,家用电器,19980506
000802.SZ,北京文化,影视音像,19980108
000803.SZ,山高环能,环境保护,19980303
000807.SZ,云铝股份,铝,19980408
000809.SZ,和展能源,电气设备,19980616
